,Astronaut,Selection Year,Hr in Space
260,"Fincke, E. Michael ",1996,9159
7,"Whitson, Peggy A.",1996,9048
186,"Foale, C. Michael ",1987,8976
8,"Williams, Jeffrey N.",1996,8688
226,"Lopez-Alegria, Michael E. ",1992,6168
214,"Walz, Carl E. ",1990,5544
196,"Chiao, Leroy ",1990,5503
195,"Bursch, Daniel W. ",1990,5448
206,"McArthur, William S., Jr. ",1990,5398
113,"Lucid, Shannon W. ",1978,5354
182,"Bowersox, Kenneth D. ",1987,5304
309,"Barratt, Michael R. ",2000,5085
204,"Helms, Susan J. ",1990,5064
247,"Lu, Edward T. ",1995,4944
278,"Phillips, John L. ",1996,4872
194,"Voss, James S. ",1987,4848
10,"Williams, Sunita L.",1998,4680
287,"Caldwell, Tracy E. ",1998,4529
268,"Kelly, Scott J. ",1996,4320
306,"Wheelock, Douglas H. ",1998,4272
232,"Thomas, Andrew S. W. ",1992,4248
277,"Pettit, Donald R. ",1996,4224
285,"Anderson, Clayton C. ",1998,4046
289,"Creamer, Timothy J. ",1998,3912
132,"Blaha, John E. ",1980,3864
163,"Shepherd, William M. ",1984,3816
224,"Linenger, Jerry M. ",1992,3435
6,"Wolf, David A.",1990,3432
128,"Thagard, Norman E. ",1978,3360
322,"Stott, Nicole P. ",2000,2491
303,"Reisman, Garrett E. ",1998,2473
63,"Carr, Gerald P. ",1966,2017
75,"Pogue, William R. ",1966,2017
56,"Gibson, Edward G. ",1965,2017
55,"Garriott, Owen K. ",1965,1674
45,"Bean, Alan L. ",1963,1671
71,"Lousma, Jack R. ",1966,1619
228,"Rominger, Kent V. ",1992,1608
135,"Chang-Diaz, Franklin R. ",1980,1601
166,"Wetherbee, James D. ",1984,1592
198,"Cockrell, Kenneth D. ",1990,1560
175,"Jernigan, Tamara E. ",1985,1512
246,"Lindsey, Steven W. ",1995,1510
319,"Kopra, Timothy L. ",2000,1464
146,"Ross, Jerry L. ",1980,1393
225,"Linnehan, Richard M. ",1992,1392
219,"Grunsfeld, John M. ",1992,1392
183,"Brown, Curtis L., Jr. ",1987,1381
159,"Ivins, Marsha S. ",1984,1318
227,"Parazynski, Scott E. ",1992,1318
86,"Musgrave, Story ",1967,1281
205,"Jones, Thomas D. ",1990,1272
222,Kregel Kevin R. ,1992,1265
202,"Halsell, James D., Jr. ",1990,1250
223,"Lawrence, Wendy B. ",1992,1225
234,"Altman, Scott D. ",1995,1224
112,"Hoffman, Jeffrey A. ",1978,1211
137,"Dunbar, Bonnie J. ",1980,1208
252,"Sturckow, Frederick W. ",1995,1200
35,"Conrad, Charles, Jr. ",1962,1179
213,"Voss, Janice E. ",1990,1176
251,"Robinson, Stephen K. ",1995,1156
220,"Horowitz, Scott J. ",1992,1138
231,"Tanner, Joseph R. ",1992,1069
5,"Wisoff, Peter J. K.",1990,1063
212,"Thomas, Donald A. ",1990,1040
218,"Gernhardt, Michael L. ",1992,1032
207,"Newman, James H. ",1990,1032
173,"Henricks, Terence T. ",1985,1026
169,"Cabana, Robert D. ",1985,1010
9,"Wilson, Stephanie D.",1996,1008
4,"Wilcutt, Terrence W.",1990,1007
200,"Currie, Nancy J. ",1990,999
279,"Polansky, Mark L. ",1996,993
208,"Ochoa, Ellen ",1990,978
170,"Duffy, Brian ",1985,976
164,"Thornton, Kathryn C. ",1984,975
312,"Bowen, Stephen G. ",2000,970
168,"Baker, Michael A. ",1985,965
273,"Mastracchio, Richard A. ",1996,960
221,"Jett, Brent W. ",1992,960
230,"Smith, Steven L. ",1992,959
261,"Forrester, Patrick G. ",1996,950
210,"Searfoss, Richard A. ",1990,938
209,"Precourt, Charles J., Jr. ",1990,932
248,"Melroy, Pamela A. ",1995,924
172,"Godwin, Linda M. ",1985,912
267,"Kelly, Mark E. ",1996,912
181,"Allen, Andrew M. ",1987,904
239,"Curbeam, Robert L., Jr. ",1995,901
265,"Hobaugh, Charles O. ",1996,876
199,"Collins, Eileen M. ",1990,872
106,"Gibson, Robert L. ",1978,868
250,"Reilly, James F. ",1995,853
